name,latitude,longitude,postcode,chargeDeviceStatus,deviceControllerName
King George Hospital 1,51.580545,0.112121,IG3 8YB,In service,Source London
King John Court ,51.52411,-0.078978,EC2A ,In service,Source London
Kings Mall Car Park,51.493964,-0.229058,W6 0LJ,In service,Source London
Kingsbury Road Car Park,51.584958,-0.277429,NW9 9EF,In service,Source London
Kingston University - Kingston Hill Campus,51.429188,-0.263097,KT1 7LB,In service,Source London
Kingston University - Knights Park Campus,51.405446,-0.300358,KT1 2RA,In service,Source London
Kingston University - Penrhyn Road Campus,51.401733,-0.302897,KT1 2EH,In service,Source London
Kingston University - Roehampton Vale Campus,51.436945,-0.251969,SW153DU,In service,Source London
Kitto Road ,51.468059,-0.044215,SE14 5TN,Out of service,Source London
Lakeside Shopping Centre,51.489372,0.282178,RM20 2ZP,In service,Source London
Langley Leisure Centre,51.499402,-0.535276,SL3 8BA,In service,Source London
Lavender Grove,51.541123,-0.069666,E8 3AP,Out of service,Source London
Leigh Hunt Drive Car Park,51.630679,-0.127334,N14 6BT,In service,Source London
Leinster Gardens,51.513484,-0.183624,,In service,Source London
Lewisham Shopping Centre CP,51.462765,-0.010682,SE137HB,In service,Source London
Lincoln's Inn Fields,51.515276,-0.117067,WC2A 3PF,Out of service,Source London
Lincolns Inn Field,51.517124,-0.116227,,Out of service,Source London
Lion Green Road car park,51.319157,-0.140236,,Out of service,Source London
London Road Car Park,51.538721,0.077796,IG11 7BL,In service,Source London
London Wall Car Park 1,51.517667,-0.095262,EC2V 5DY,Out of service,Source London
Loughton Station Car Park 1,51.640564,0.05373,IG10 4PD,In service,Source London
Lower Addiscombe Road,51.381035,-0.071207,,In service,Source London
Lupus Street,51.487624,-0.142982,SW1V 3HQ,Out of service,Source London
Magdalen Street,51.503725,-0.081809,,Out of service,Source London
London Olympics Media Centre 1,51.547876,-0.024784,E9 5JH,In service,Source London
Malet Street,51.522463,-0.131244,,Out of service,Source London
Marlborough Road,51.49491,0.073642,,In service,Source London
Messeter Place,51.45007,0.059433,,In service,Source London
Mill Lane,51.551246,-0.20305,,Out of service,Source London
Millennium Hotel,51.510379,-0.150646,,In service,Source London
Minories Car Park 1,51.510492,-0.073354,E1 8LP,Out of service,Source London
Montagu Mansions,51.520476,-0.157963,,In service,Source London
Montem Leisure Centre,51.510251,-0.608767,,In service,Source London
NCP Aldersgate Street - Level 1,51.51869,-0.097338,EC1A 4HY,Out of service,Source London
NCP Allders,51.374917,-0.099124,,In service,Source London
NCP Arthur Court,51.516192,-0.188921,,In service,Source London
NCP Berners Street,51.518018,-0.137868,,In service,Source London
NCP Brewer Street,51.51234,-0.134814,,In service,Source London
NCP Buckhold Road,51.453562,-0.193776,,In service,Source London
NCP Cadogan Place,51.497429,-0.158589,,Out of service,Source London
NCP Carrington Street,51.505649,-0.146673,,In service,Source London
NCP Cleveland Street,51.520271,-0.137604,,In service,Source London
NCP Crawford Street,51.519367,-0.162389,,In service,Source London
NCP Dingwall Road,51.377317,-0.095159,,In service,Source London
NCP Docklands City Harbour,51.494884,-0.014758,,In service,Source London
NCP Epsom The Ebbisham Centre,51.334285,-0.265839,,Out of service,Source London
NCP Fairfield,51.409843,-0.300986,,Out of service,Source London
NCP Fairfield Halls,51.373142,-0.09335,,In service,Source London
NCP Farringdon,51.524615,-0.109532,,In service,Source London
NCP Finsbury Square,51.521397,-0.086342,,In service,Source London
NCP Flightpath (Heathrow Airport),51.482996,-0.453653,,In service,Source London
NCP Great Eastern Street,51.523795,-0.080072,,In service,Source London
NCP Grosvenor Hill,51.511188,-0.146102,,In service,Source London
NCP High Barnet Station,51.649923,-0.193354,,In service,Source London
High Street NCP Car Park,51.33346,-0.269645,KT19 8EU,In service,Source London
NCP Hounslow West Station,51.472887,-0.384837,,In service,Source London
NCP Lawn House Close,51.500274,-0.01072,,In service,Source London
NCP Marble Arch,51.514844,-0.160121,,In service,Source London
NCP Marylebone Road,51.522714,-0.159083,,In service,Source London
NCP North Greenwich Station,51.498749,0.00388,,In service,Source London
NCP Park Road,51.525931,-0.16237,,In service,Source London
NCP Pavillion Road,51.499683,-0.160674,,In service,Source London
NCP Perivale Station Car Park,51.536579,-0.323927,,In service,Source London
NCP Portman Square,51.51657,-0.157789,,In service,Source London
NCP Richmond Station,51.462538,-0.300916,,In service,Source London
NCP Saffron Hill,51.521198,-0.106776,,In service,Source London
NCP Shaftesbury,51.516387,-0.125223,,In service,Source London
NCP Sherwood Court,51.518164,-0.163101,,In service,Source London
NCP Snowsfield,51.501349,-0.087182,,In service,Source London
NCP St James Road,51.408171,-0.304125,,In service,Source London
NCP Victoria,51.491892,-0.150198,,In service,Source London
NCP Vintry Thames Exchange,51.510372,-0.092382,,In service,Source London
NCP Water Gardens,51.517614,-0.167014,,In service,Source London
NCP Watford Station,51.65657,-0.417841,,Out of service,Source London
NCP West 12 Centre,51.505419,-0.229565,,In service,Source London
NCP Whitgift,51.377711,-0.100029,,In service,Source London
NCP Woburn Place,51.523922,-0.126326,,In service,Source London
NCP Young Street,51.501282,-0.189469,,In service,Source London
Netherwood Street,51.545173,-0.200491,,Out of service,Source London
Newbury Park Station Car Park 1,51.575981,0.090643,IG2 7RN,In service,Source London
Newham University Hospital 1,51.523713,0.034153,E13 8SL,In service,Source London
Ancaster Nissan Dealership,51.411298,0.025637,BR1 3JE,In service,Source London
O2 Arena Car Park 1,51.498076,0.004312,,In service,Source London
Oakwood Station Car Park 1,51.647944,-0.130757,N14 4UT,In service,Source London
Oasis Academy,51.639866,-0.038479,,In service,Source London
Octink,51.483866,-0.314525,,In service,Source London
Oldhill Street ,51.56982,-0.063718,,In service,Source London
Ondine Road,51.463002,-0.072792,,In service,Source London
Orchard Village,51.528936,0.170689,,In service,Source London
South Street 1,51.528291,0.168611,RM13 8PJ,In service,Source London
Palace Gardens Multistorey Car park,51.651689,-0.084691,,In service,Source London
Palace Street,51.497298,-0.139505,,In service,Source London
Park Street,51.507214,-0.097831,,In service,Source London
Parkland Road,51.595472,-0.110952,,In service,Source London
Pearcefield Avenue Car Park,51.440645,-0.055286,,In service,Source London
Pembroke Road Car Park,51.573101,-0.414175,,In service,Source London
"Penge East Station,",51.419055,-0.055397,,Out of service,Source London
Pitfield Street,51.52948,-0.083466,,Out of service,Source London
Premier Inn Dagenham,51.5309,0.148492,,In service,Source London
Preston Road Car Park Car Park,51.573459,-0.295398,,In service,Source London
Princes Avenue,51.590627,-0.147186,,Out of service,Source London
Pulross Road,51.464324,-0.118734,,Out of service,Source London
Pump Lane Car Park ,51.50683,-0.415583,,In service,Source London
Purley Railway Station Car Park,51.336998,-0.113801,CR8 2UD,In service,Source London
Putney Leisure Centre,51.463908,-0.228811,,Out of service,Source London
Abingdon Car Park 1,51.497935,-0.126383,SW1P 3RX,In service,Source London
Q-Park - Butlers Wharf Car Park,51.50229,-0.073815,,Out of service,Source London
Harley Street Car Park (Q-Park) 1,51.517948,-0.145338,W1G 9HF,In service,Source London
Q-Park - Knightsbridge,51.49989,-0.157251,,Out of service,Source London
Q-Park - Old Burlington Street,51.510623,-0.140505,,In service,Source London
Q-Park - Oxford Street,51.516177,-0.145972,,In service,Source London
Park Lane Car Park (Q-Park) 1,51.509356,-0.15648,W1K 7TY,In service,Source London
Q-Park - Pimlico Car Park,51.490123,-0.146337,,In service,Source London
Q-Park - Queensway Car Park,51.5109,-0.186926,,Out of service,Source London
Q-Park - Soho Car Park,51.514249,-0.137215,,Out of service,Source London
Q-Park - St Johns Wood,51.534281,-0.17305,,In service,Source London
Trafalgar Car Park 1,51.506944,-0.129703,SW1A 2TS,In service,Source London
Chinatown Car Park 1,51.512381,-0.12948,WC2H 7PR,In service,Source London
Queens Drive,51.565873,-0.101732,,In service,Source London
Railway Avenue,51.501693,-0.052415,,In service,Source London
Raphael Street,51.50117,-0.162646,,In service,Source London
Rayners Lane Station Car Park 1,51.575124,-0.37084,HA5 5EG,In service,Source London
Red Lion Square,51.519425,-0.118929,,In service,Source London
Redbridge Station Car Park 1,51.576367,0.045408,IG4 5DQ ,In service,Source London
Regents Park Road,51.540127,-0.157544,,Out of service,Source London
Roan Street,51.479899,-0.013494,,Out of service,Source London
Romford Multi Storey Car Park,51.580315,0.180686,,In service,Source London
Rosslyn Hill,51.554941,-0.173318,,Out of service,Source London
Sainsbury's Beckton 1,51.521278,0.065888,E6 6JF,In service,Source London
Sainsburys Camden,51.540384,-0.140792,,In service,Source London
Sainsburys Chiswick,51.493382,-0.26593,,In service,Source London
Sainsburys Cromwell Road,51.495067,-0.188232,,In service,Source London
Sainsburys Dulwich,51.462595,-0.0847,,In service,Source London
Sainsburys Greenwich,51.489378,0.014907,,Out of service,Source London
Sainsburys Islington,51.534041,-0.108522,,In service,Source London
Sainsburys North Cheam,51.372055,-0.223896,,In service,Source London
Sainsburys Sydenham,51.430501,-0.034238,,In service,Source London
Sainsburys Wandsworth,51.454382,-0.19098,SW18 4AD,In service,Source London
Sanderstead Road car park,51.347884,-0.094643,,In service,Source London
Sandown Park Race Course,51.374159,-0.361431,,In service,Source London
Sardinia Street,51.515073,-0.118431,,Out of service,Source London
Scovell Road,51.499959,-0.099041,,Out of service,Source London
Seville Street,51.50182,-0.159335,,In service,Source London
The Mall Wood Green East Car Park,51.594753,-0.109336,N22 6DF,In service,Source London
Shotfield Road,51.358314,-0.151247,,Out of service,Source London
Slaithwaite Road Car Park,51.458857,-0.011413,,In service,Source London
Smithfield Market Car Park 1,51.518753,-0.101256,EC1A 9DS,Out of service,Source London
Snaresbrook Station Car Park 1,51.58103,0.021282,E11 1QE,In service,Source London
South Croydon Rail Station Car Park,51.362698,-0.093697,CR2 7PA,In service,Source London
South End Road,51.556025,-0.166711,NW3 2RL,In service,Source London
South Mimms Service Station,51.687097,-0.221112,,In service,Source London
Southampton Street,51.510957,-0.121972,WC2E 7HE,In service,Source London
Spencer Park,51.45734,-0.17467,,Out of service,Source London
Spenser Street,51.498096,-0.137096,,In service,Source London
Springfield Hospital,51.436776,-0.169619,,In service,Source London
St Albans Road,51.560963,-0.150167,,Out of service,Source London
St Georges Road car park,51.409188,-0.024598,,In service,Source London
St Heliers Hospital,51.380319,-0.182822,,In service,Source London
St Johns Avenue,51.459622,-0.217764,,In service,Source London
St Johns Road carpark,51.553774,-0.297215,,In service,Source London
St Marks Hill,51.39343,-0.303376,,In service,Source London
Stanmore Station Car Park 1,51.619673,-0.303085,HA7 4PD,In service,Source London
Stoneleigh Road Car park,51.591793,-0.069454,,In service,Source London
Store Street,51.520009,-0.131301,,Out of service,Source London
Stratford Centre Multistorey Car Park,51.540966,-0.001188,,In service,Source London
Stratford International Station 1,51.545432,-0.006314,E15 1AZ,In service,Source London
Streatham Common Railway St Car Park,51.419067,-0.135823,,Out of service,Source London
Summerland Gardens Car Park,51.590047,-0.14233,,In service,Source London
Sutherland Avenue 1,51.527633,-0.182701,W9 1RX,Out of service,Source London
Sutton Hospital,51.346947,-0.193261,,In service,Source London
Sutton Life Centre,51.37834,-0.20263,,In service,Source London
Sutton Rail Station Car Park,51.359959,-0.188569,,Out of service,Source London
Sydney Road CP,51.447834,-0.411798,,In service,Source London
Talbot Road,51.516122,-0.204245,,Out of service,Source London
Temple Place 1,51.51141,-0.113206,WC2R 2PG,Out of service,Source London
Thames Innovation Center,51.496152,0.142117,,In service,Source London
The Bittoms Car Park,51.406136,-0.305207,,In service,Source London
The Centre Car Park,51.519667,-0.614173,,In service,Source London
The Chimes Shopping Centre,51.545246,-0.474719,,In service,Source London
The Crystal Car Park 1,51.507776,0.015488,E16 1GB,Out of service,Source London
The Cut,51.503518,-0.106155,,In service,Source London
The Glades Shopping Centre,51.404013,0.01732,,Out of service,Source London
The Mall Wood Green Car Park East,51.594837,-0.109505,,Out of service,Source London
The Mall Wood Green Car Park West,51.594214,-0.109892,,In service,Source London
The Rose Car Park,51.407028,-0.293542,,In service,Source London
The Royal Free Hospital,51.553224,-0.165309,,Out of service,Source London
The Spa Car Park,51.409051,-0.037862,,In service,Source London
Thorpe Park Car Park,51.405217,-0.510193,,In service,Source London
Times Square Car Park,51.363951,-0.191472,,Out of service,Source London
Tolworth Hospital,51.37931,-0.290247,,In service,Source London
Tolworth Sports Ground,51.375681,-0.275195,,In service,Source London
Tottenham Green Leisure Centre,51.588822,-0.073636,,Out of service,Source London
Tower Hill Car Park 1,51.508797,-0.080198,EC3R 6DT,In service,Source London
Toyota Bromley,51.422136,0.022376,,In service,Source London
Toyota Burgh Heath 1,51.315568,-0.231359,KT18 5UX,In service,Source London
Toyota Croydon ,51.361152,-0.118224,,In service,Source London
Toyota Sidcup ,51.416093,0.123041,,In service,Source London
Toyota South Woodford,51.616686,0.026434,,In service,Source London
Trafalgar Street,51.488118,-0.08981,,In service,Source London
Treaty Shopping Centre Car Park Level 1b,51.467617,-0.364651,,In service,Source London
Underhill Road,51.454667,-0.070149,,In service,Source London
Union Street,51.409419,-0.305229,,In service,Source London
Upper Grosvenor Street,51.510069,-0.155515,,Out of service,Source London
Upper Ground,51.50684,-0.111968,,In service,Source London
Victoria Station,51.493936,-0.144641,,Out of service,Source London
Waitrose Beckenham,51.411878,-0.027344,,In service,Source London
Waitrose Esher,51.367886,-0.36687,,In service,Source London
Waitrose Finchley,51.611645,-0.180128,,Out of service,Source London
Waitrose Fulham,51.479952,-0.199402,,In service,Source London
Waitrose Hampton,51.415676,-0.373681,,In service,Source London
Waitrose Harrow Weald,51.605591,-0.33951,,In service,Source London
Waitrose Mill Hill,51.607456,-0.209439,,In service,Source London
Waitrose Northwood,51.610603,-0.424552,,In service,Source London
Waitrose South Harrow,51.567485,-0.352456,,Out of service,Source London
Waitrose Surbiton,51.394064,-0.305509,,In service,Source London
Waitrose Whetstone,51.631115,-0.176213,,In service,Source London
"Waitrose, South Woodford",51.595656,0.02365,,In service,Source London
"Waitrose, West Ealing",51.51317,-0.322495,,In service,Source London
Waldeck Road,51.589808,-0.09714,,Out of service,Source London
Wallington Library,51.358223,-0.151135,,In service,Source London
Wandle Recreation Centre,51.451558,-0.193279,,In service,Source London
Wandle Road car park,51.369872,-0.101301,,In service,Source London
Warren Street,51.523527,-0.142199,,Out of service,Source London
Welbeck Street Car Park,51.515665,-0.148817,,In service,Source London
Wellington Street,51.511756,-0.119634,,In service,Source London
Welstead Way Car Park ,51.495373,-0.247991,,In service,Source London
Wendover Road Car Park,51.535388,-0.246744,,In service,Source London
Wesley Avenue,51.504836,0.021208,,In service,Source London
West End Lane,51.540812,-0.191766,,Out of service,Source London
West Ham Lane,51.540557,0.002198,,In service,Source London
West Middlesex University Hospital Car Park 1,51.474818,-0.326321,TW7 6AF,In service,Source London
Westcroft Leisure Centre,51.368203,-0.157328,,In service,Source London
Westerley Crescent,51.424676,-0.033856,,In service,Source London
Westfield London Car Park 1,51.508353,-0.221973,W12 7SL,In service,Source London
Westfield Stratford City Car Park A 1,51.544374,-0.007372,E20 1EJ,In service,Source London
Westfield Stratford City Car Park B 1,51.543897,-0.005614,E20 1EJ,In service,Source London
Westpole Avenue,51.65007,-0.148001,,Out of service,Source London
Whipps Cross Hospital,51.579332,0.001217,,In service,Source London
Whitechapel High Street Car Park,51.516029,-0.072111,E1 7PE,In service,Source London
Whitehall Place,51.506489,-0.123741,,In service,Source London
Whittington Hospital Car Park 1,51.566844,-0.1399,N19 5NG,In service,Source London
Wilton Street,51.498977,-0.148413,,In service,Source London
Wilton Way ,51.545609,-0.062453,,In service,Source London
Worship Street,51.522003,-0.081056,EC2A 2DG,In service,Source London
Yoakley Road,51.562228,-0.079449,,In service,Source London
Britwell Community Centre,51.534019,-0.63126,SL1 3UF,In service,Source London
The Crystal Car Park 2,51.507442,0.016295,E16 1GB,Out of service,Source London
The Crystal Car Park 3,51.507442,0.016295,E16 1GB,Out of service,Source London
The Crystal Car Park 4,51.507442,0.016295,E16 1GB,Out of service,Source London
The Crystal Car Park 5,51.507442,0.016295,E16 1GB,Out of service,Source London
The Crystal Car Park 6,51.507442,0.016295,E16 1GB,Out of service,Source London
Park Lane Car Park (Q-Park) 2,51.508874,-0.154453,W1K 7TY,In service,Source London
Park Lane Car Park (Q-Park) 3,51.508874,-0.154453,W1K 7TY,In service,Source London
Park Lane Car Park (Q-Park) 4,51.508874,-0.154453,W1K 7TY,In service,Source London
Park Lane Car Park (Q-Park) 5,51.508874,-0.154453,W1K 7TY,In service,Source London
Park Lane Car Park (Q-Park) 6,51.508874,-0.154453,W1K 7TY,In service,Source London
Park Lane Car Park (Q-Park) 7,51.508874,-0.154453,W1K 7TY,In service,Source London
Park Lane Car Park (Q-Park) 8,51.508874,-0.154453,W1K 7TY,In service,Source London
